2026-08-03T08:06:08.440Z	190	p1-score	snipe-screen	18.561	5.675	7502	2.69	494	10.151	stop	-
2026-08-03T09:06:08+01:00	-	phase1-wall	wall	19	0	0	0	0	0	wall	-
2026-08-03T08:06:13.463Z	190	embed	snipe-embed	4.697	3.259	7507	0	0	0	-	n=20
2026-08-03T08:06:13.635Z	190	embed	snipe-embed	0.141	0.11	376	0	0	0	-	n=1
2026-08-03T08:06:41.629Z	190	p2-parse	snipe-eval	27.985	7.07	996	2.972	456	17.921	stop	attempt=0
2026-08-03T08:06:57.165Z	190	embed	snipe-embed	15.528	15.372	71	0	0	0	-	n=8
2026-08-03T08:07:27.357Z	190	p2-evidence	snipe-eval	30.186	7.07	1663	4.763	459	18.333	stop	attempt=0
2026-08-03T08:10:17.574Z	190	p2-judgment	snipe-eval	170.212	7.504	6427	15.806	3204	146.85	stop	attempt=0
2026-08-03T09:10:17+01:00	-	phase2-wall	wall	249	0	0	0	0	0	wall	-
2026-08-03T08:10:33.995Z	190	embed	snipe-embed	16.123	15.221	2123	0	0	0	-	n=47
2026-08-03T08:11:19.905Z	190	p3-judge	snipe-eval	45.9	6.864	9070	22.953	347	16.031	stop	items=39
2026-08-03T08:11:50.264Z	190	p3-tailor	snipe-cv	30.337	8.597	5917	2.883	896	18.814	stop	-
2026-08-03T08:11:53.267Z	190	p3-summary	snipe-cv	2.987	0.19	1915	0.866	96	1.803	stop	-
2026-08-03T09:11:54+01:00	-	phase3-wall	wall	97	0	0	0	0	0	wall	-
2026-08-03T08:12:16.153Z	191	p1-score	snipe-screen	19.21	6.621	7568	2.763	473	9.782	stop	-
2026-08-03T09:12:16+01:00	-	phase1-wall	wall	20	0	0	0	0	0	wall	-
2026-08-03T08:12:19.950Z	191	embed	snipe-embed	3.443	3.203	389	0	0	0	-	n=1
2026-08-03T08:12:54.218Z	191	p2-parse	snipe-eval	34.257	13.485	1060	3.536	432	17.183	stop	attempt=0
2026-08-03T08:13:07.354Z	191	embed	snipe-embed	13.128	12.981	95	0	0	0	-	n=7
2026-08-03T08:13:34.648Z	191	p2-evidence	snipe-eval	27.289	6.954	1591	4.536	400	15.778	stop	attempt=0
2026-08-03T08:15:57.286Z	191	p2-judgment	snipe-eval	142.63	7.845	6306	14.953	2601	119.784	stop	attempt=0
2026-08-03T09:15:57+01:00	-	phase2-wall	wall	221	0	0	0	0	0	wall	-
2026-08-03T08:16:11.282Z	191	embed	snipe-embed	13.686	12.769	2147	0	0	0	-	n=46
2026-08-03T08:16:57.587Z	191	p3-judge	snipe-eval	46.295	7.148	9108	23.036	347	16.064	stop	items=39
2026-08-03T08:17:23.705Z	191	p3-tailor	snipe-cv	26.096	6.918	5886	2.875	774	16.266	stop	-
2026-08-03T08:17:26.590Z	191	p3-summary	snipe-cv	2.87	0.193	1812	0.829	92	1.723	stop	-
2026-08-03T09:17:27+01:00	-	phase3-wall	wall	90	0	0	0	0	0	wall	-
2026-08-03T08:17:43.483Z	192	p1-score	snipe-screen	12.982	6.079	7900	2.938	186	3.916	stop	-
2026-08-03T09:17:43+01:00	-	phase1-wall	wall	13	0	0	0	0	0	wall	-
2026-08-03T08:17:55.934Z	193	p1-score	snipe-screen	9.783	0.164	8392	0.782	413	8.787	stop	-
2026-08-03T09:17:55+01:00	-	phase1-wall	wall	10	0	0	0	0	0	wall	-
2026-08-03T08:18:10.576Z	194	p1-score	snipe-screen	12.011	0.16	7476	0.371	554	11.433	stop	-
2026-08-03T09:18:10+01:00	-	phase1-wall	wall	12	0	0	0	0	0	wall	-
2026-08-03T08:18:14.868Z	194	embed	snipe-embed	3.975	3.745	382	0	0	0	-	n=1
2026-08-03T08:18:52.937Z	194	p2-parse	snipe-eval	38.059	7.506	971	3.135	694	27.4	stop	attempt=0
2026-08-03T08:19:05.713Z	194	embed	snipe-embed	12.769	12.532	241	0	0	0	-	n=12
2026-08-03T08:19:47.299Z	194	p2-evidence	snipe-eval	41.581	7.433	2266	6.566	683	27.56	stop	attempt=0
2026-08-03T08:22:08.867Z	194	p2-judgment	snipe-eval	141.561	7.858	6732	16.141	2568	117.514	stop	attempt=0
2026-08-03T09:22:08+01:00	-	phase2-wall	wall	238	0	0	0	0	0	wall	-
2026-08-03T08:22:23.038Z	194	embed	snipe-embed	13.873	12.785	2293	0	0	0	-	n=51
2026-08-03T08:23:28.115Z	194	p3-judge	snipe-eval	65.067	7.082	9240	23.091	742	34.845	stop	items=39
2026-08-03T08:23:54.383Z	194	p3-tailor	snipe-cv	26.247	7.128	5730	2.792	778	16.288	stop	-
2026-08-03T08:24:06.808Z	194	p3-tailor	snipe-cv	12.405	0.196	5790	0.054	580	12.116	stop	-
2026-08-03T08:24:09.361Z	194	p3-summary	snipe-cv	2.537	0.189	1814	0.831	73	1.368	stop	-
2026-08-03T09:24:10+01:00	-	phase3-wall	wall	122	0	0	0	0	0	wall	-
2026-08-03T08:24:26.876Z	195	p1-score	snipe-screen	13.633	7.335	7206	2.628	176	3.616	stop	-
2026-08-03T09:24:26+01:00	-	phase1-wall	wall	13	0	0	0	0	0	wall	-
2026-08-03T08:24:37.837Z	196	p1-score	snipe-screen	8.219	0.169	7234	0.266	378	7.739	stop	-
2026-08-03T09:24:37+01:00	-	phase1-wall	wall	8	0	0	0	0	0	wall	-
2026-08-03T08:24:49.394Z	197	p1-score	snipe-screen	8.882	0.163	7543	0.396	401	8.281	stop	-
